train 5 films, 504,520 frames (5.61 h)
    BigBoyRidesAgain_frames.npy
    rog561b_netzero_310_frames.npy
    rog561b_netzero_317_frames.npy
    rog56_mail_614_frames.npy
    rog56_mail_922_frames.npy
HELD-OUT 2 films, 183,905 frames (2.04 h)
    rog56_mail_927_frames.npy
    rough_riding_ranger_frames.npy

held-out baselines: zero 0.29632  PERSISTENCE 0.04399  (the one to beat)

params 10,297,838 (3,840,000 association)
/home/brandonin/Documents/IBM-1/scripts/train_video_multifilm.py:131: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /__w/pytorch/pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:820.)
  print(f"{step:6d}  train {float(loss):.5f}  held {held:.5f}  "
     0  train 0.40537  held 0.31628  persist 0.02607  SKILL -11.1308  r_eff 13.92      1s  <- best
 14250  train 0.09927  held 0.09844  persist 0.04468  SKILL -1.2031  r_eff  5.82   2585s
 14500  train 0.11749  held 0.10978  persist 0.05587  SKILL -0.9650  r_eff  6.97   2630s
 14750  train 0.11232  held 0.09866  persist 0.04390  SKILL -1.2475  r_eff  5.12   2675s
 15000  train 0.14414  held 0.10285  persist 0.05635  SKILL -0.8251  r_eff  6.67   2720s
 15250  train 0.08254  held 0.10411  persist 0.04223  SKILL -1.4650  r_eff  6.39   2766s
 15500  train 0.10945  held 0.10137  persist 0.04104  SKILL -1.4698  r_eff  5.45   2811s
 15750  train 0.16402  held 0.09933  persist 0.04858  SKILL -1.0447  r_eff  6.39   2856s
 16000  train 0.11115  held 0.10040  persist 0.04174  SKILL -1.4054  r_eff  5.83   2901s
 16250  train 0.08753  held 0.09458  persist 0.04929  SKILL -0.9188  r_eff  6.37   2946s
 16500  train 0.08030  held 0.10014  persist 0.04666  SKILL -1.1461  r_eff  6.59   2992s
 16750  train 0.09200  held 0.10231  persist 0.05065  SKILL -1.0198  r_eff  7.05   3037s
