[contrastive] pool 200, chance 0.50%  window 250 samples (1000 ms)
params 12,854,272
/home/brandonin/Documents/IBM-1/scripts/control_speech_to_meg.py:146: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /__w/pytorch/pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:820.)
  print(f"  {step:5d}  loss {float(loss):.4f}  top-1 {100*top1:5.2f}% "
      0  loss 4.9109  top-1  0.50% +/-0.35  (1.0x chance)
    500  loss 4.8516  top-1  0.50% +/-0.00  (1.0x chance)
   1000  loss 4.3067  top-1  4.06% +/-0.85  (8.1x chance)
   1500  loss 4.0407  top-1  3.37% +/-0.96  (6.7x chance)
   2000  loss 4.0383  top-1  5.37% +/-1.43  (10.7x chance)
   2500  loss 3.9914  top-1  7.44% +/-1.98  (14.9x chance)
   3000  loss 3.8199  top-1  7.87% +/-1.63  (15.7x chance)
   3500  loss 3.7052  top-1  7.06% +/-1.36  (14.1x chance)
   4000  loss 3.7523  top-1  7.37% +/-1.60  (14.7x chance)
   4500  loss 3.3565  top-1  6.87% +/-0.86  (13.7x chance)
   5000  loss 3.4770  top-1  6.75% +/-1.94  (13.5x chance)
   5500  loss 3.2245  top-1  6.37% +/-1.78  (12.7x chance)
   6000  loss 2.9747  top-1  7.12% +/-1.71  (14.2x chance)
